amostra,Pop,dpi,In—culo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
68,wMEL,14,10^8,37.79499816894530,36.98099899291990,,,,,17.99200057983400,18.26300048828120,,,18.95000076293950,19.12100028991700,,
69,wMEL,14,10^8,20.58699989318850,36.15999984741210,20.09700012207030,36.75899887084960,36.13899993896480,36.03499984741210,22.69599914550780,,,,19.07399940490720,,,
70,wMEL,14,10^8,20.82600021362300,21.05699920654300,,,,,18.06999969482420,18.15800094604490,23.50799942016600,,19.02700042724610,18.79100036621090,19.49200057983400,
71,wMEL,14,10^8,23.16099929809570,23.35499954223630,,,,,17.91799926757810,18.06800079345700,18.84099960327150,,19.38100051879880,19.59600067138670,19.72500038146970,
72,wMEL,14,10^8,33.04199981689450,33.04100036621090,,,,,18.87100028991700,,,,18.87599945068360,,,
73,wMEL,14,10^8,22.67499923706050,22.38899993896480,,,,,19.81100082397460,,,,19.11400032043460,,,
74,wMEL,14,10^8,38.19200134277340,Undetermined,,,,,19.59499931335450,,,,19.22599983215330,,,
75,wMEL,14,10^8,20.95700073242190,20.95000076293950,,,,,19.78899955749510,,,,20.18400001525880,,,
76,wMEL,14,10^8,24.43799972534180,24.25200080871580,,,,,20.85000038146970,,,,21.26799964904780,,,
77,wMEL,14,10^8,22.43499946594240,22.44899940490720,,,,,20.93499946594240,,,,22.50900077819820,,,
78,wMEL,14,10^8,20.80699920654300,20.96699905395510,,,,,19.98500061035160,,,,19.66099929809570,,,
79,wMEL,14,10^8,37.86199951171870,Undetermined,,,,,20.34499931335450,,,,20.46100044250490,,,
80,wMEL,14,10^8,22.76199913024900,22.71100044250490,,,,,20.48299980163570,,,,20.73600006103520,,,
81,wMEL,14,10^8,22.93499946594240,23.01300048828120,,,,,20.70800018310550,,,,21.06900024414060,,,
247,wMEL,3,CRTL,Undetermined,Undetermined,,,,,19.71800041198730,,,,20.12100028991700,,,
248,wMEL,3,CRTL,Undetermined,Undetermined,,,,,19.26799964904790,,,,19.47900009155270,,,
249,wMEL,3,CRTL,Undetermined,Undetermined,,,,,19.64500045776370,,,,19.69899940490720,,,
250,wMEL,3,CRTL,Undetermined,Undetermined,,,,,20.97299957275390,,,,21.39500045776370,,,
251,wMEL,3,CRTL,Undetermined,Undetermined,,,,,19.16600036621090,,,,19.90999984741210,,,
241,wMEL,3,CTRL,Undetermined,Undetermined,Undetermined,,,,19.24699974060060,,,,19.32399940490720,,,
242,wMEL,3,CTRL,Undetermined,Undetermined,,,,,19.22299957275390,,,,20.25399971008300,,,
243,wMEL,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.63199996948240,,,
244,wMEL,3,CTRL,Undetermined,Undetermined,,,,,22.71100044250490,,,,20.66399955749510,,,
245,wMEL,3,CTRL,Undetermined,Undetermined,,,,,23.59799957275390,,,,20.36000061035160,,,
246,wMEL,3,CTRL,Undetermined,Undetermined,,,,,22.79500007629390,,,,23.24099922180180,,,
179,wMEL,7,CTRL,Undetermined,Undetermined,,,,,18.29199981689450,,,,17.00600051879880,,,
180,wMEL,7,CTRL,Undetermined,Undetermined,,,,,23.45800018310550,,,,19.11000061035160,,,
181,wMEL,7,CTRL,Undetermined,Undetermined,,,,,21.67099952697750,,,,18.47999954223630,,,
182,wMEL,7,CTRL,Undetermined,Undetermined,,,,,22.54100036621090,,,,18.90800094604490,,,
183,wMEL,7,CTRL,Undetermined,Undetermined,,,,,22.74399948120120,,,,19.04400062561040,,,
184,wMEL,7,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,18.49699974060060,,,
82,wMEL,14,CTRL,Undetermined,Undetermined,,,,,20.34199905395510,,,,20.28499984741210,,,
83,wMEL,14,CTRL,38.31200027465820,Undetermined,,,,,29.80599975585940,,,,20.65699958801270,,,
84,wMEL,14,CTRL,38.72000122070310,Undetermined,,,,,19.56699943542480,,,,18.24099922180180,,,
85,wMEL,14,CTRL,Undetermined,38.61199951171870,,,,,26.31699943542480,,,,20.86199951171880,,,
86,wMEL,14,CTRL,Undetermined,Undetermined,,,,,27.09099960327150,,,,20.82799911499020,,,
87,wMEL,14,CTRL,Undetermined,Undetermined,,,,,19.03199958801270,,,,19.27599906921390,,,
35,,,,,,,,,,Undetermined,,,,,,,
148,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
